repo,stars,forks,pull_requests,pScore,pScore_normalized,popular,s_num_nodes,s_weighted_mean_degree,s_num_component,s_avg_clustering_coef,s_largest_component,s_graph_density,t_num_dev_nodes,t_num_file_nodes,t_num_dev_per_file,t_num_file_per_dev,t_graph_density,proj_name,month,st_num_dev,t_net_overlap,s_net_overlap
wave,217,98,27,1044,0.0126207371767749,1,12,6.0,2,0.0555555555555555,8,0.1818181818181818,0,0,0.0,0.0,0.0,wave,32,0,0.0,0.0535714285714285
wave,217,98,27,1044,0.0126207371767749,1,15,10.4,1,0.2274074074074074,15,0.2095238095238095,0,0,0.0,0.0,0.0,wave,33,0,0.0,0.0588235294117647
wave,217,98,27,1044,0.0126207371767749,1,10,6.0,2,0.2666666666666666,5,0.2222222222222222,4,56,1.0178571428571428,14.25,0.2544642857142857,wave,34,1,0.0,0.0
wave,217,98,27,1044,0.0126207371767749,1,23,10.434782608695652,1,0.3054520358868185,23,0.1581027667984189,4,244,1.6926229508196722,103.25,0.423155737704918,wave,35,1,0.0042553191489361,0.02
wave,217,98,27,1044,0.0126207371767749,1,30,36.0,1,0.5279467218940903,30,0.2068965517241379,1,2,1.0,2.0,1.0,wave,36,0,0.0048192771084337,0.1076923076923077
wave,217,98,27,1044,0.0126207371767749,1,19,18.105263157894736,2,0.3404858299595141,17,0.1871345029239766,1,32,1.0,32.0,1.0,wave,37,1,0.0,0.0655737704918032
wave,217,98,27,1044,0.0126207371767749,1,12,5.333333333333333,2,0.2055555555555555,10,0.1969696969696969,2,16,1.0,8.0,0.5,wave,38,1,0.0208333333333333,0.0888888888888888
wave,217,98,27,1044,0.0126207371767749,1,9,17.77777777777778,1,0.0,9,0.25,1,6,1.0,6.0,1.0,wave,39,1,0.1363636363636363,0.0909090909090909
wave,217,98,27,1044,0.0126207371767749,1,11,11.272727272727272,1,0.4575757575757576,11,0.2363636363636363,2,64,1.015625,32.5,0.5078125,wave,40,0,0.0,0.1363636363636363
wave,217,98,27,1044,0.0126207371767749,1,5,3.2,2,0.0,3,0.3,5,39,1.1282051282051282,8.8,0.2256410256410256,wave,41,1,0.109090909090909,0.0
wave,217,98,27,1044,0.0126207371767749,1,9,7.555555555555555,3,0.0,5,0.1666666666666666,6,42,1.1428571428571428,8.0,0.1904761904761904,wave,42,4,0.2659574468085106,0.1111111111111111
wave,217,98,27,1044,0.0126207371767749,1,19,11.157894736842104,1,0.2350877192982456,19,0.1520467836257309,2,4,1.0,2.0,0.5,wave,43,1,0.0,0.09375
wave,217,98,27,1044,0.0126207371767749,1,17,11.294117647058824,1,0.330765639589169,17,0.1691176470588235,0,0,0.0,0.0,0.0,wave,44,0,0.0,0.1632653061224489
wave,217,98,27,1044,0.0126207371767749,1,6,8.0,2,0.0,4,0.2666666666666666,0,0,0.0,0.0,0.0,wave,45,0,0.0,0.0
