s_num_nodes,s_weighted_mean_degree,s_num_component,s_avg_clustering_coef,s_largest_component,s_graph_density,t_num_dev_nodes,t_num_file_nodes,t_num_dev_per_file,t_num_file_per_dev,t_graph_density,proj_name,month,st_num_dev,t_net_overlap,s_net_overlap
14,37.42857142857143,1,0.4782051282051282,14,0.25274725274725274,6,212,1.1886792452830188,42.0,0.19811320754716982,onami,2,5,0.13184584178498987,0.24489795918367346
12,42.666666666666664,1,0.6345899470899471,12,0.36363636363636365,4,168,1.1666666666666667,49.0,0.2916666666666667,onami,3,3,0.19196428571428573,0.2553191489361702
18,30.0,1,0.4759089675756343,18,0.2549019607843137,5,156,1.1987179487179487,37.4,0.23974358974358975,onami,4,4,0.09921671018276762,0.2222222222222222
9,13.777777777777779,2,0.18518518518518517,5,0.2222222222222222,3,239,1.0251046025104602,81.66666666666667,0.3417015341701534,oodt,0,1,0.0,0.0
8,8.0,1,0.20833333333333331,8,0.2857142857142857,1,65,1.0,65.0,1.0,oodt,1,0,0.0,0.3125
6,4.0,2,0.0,3,0.26666666666666666,1,5,1.0,5.0,1.0,oodt,2,0,0.0,0.08333333333333333
2,6.0,1,0.0,2,1.0,1,78,1.0,78.0,1.0,oodt,3,0,0.0,0.0
5,7.2,1,0.0,5,0.5,5,880,1.3181818181818181,232.0,0.2636363636363636,oodt,4,2,0.0,0.16666666666666666
14,22.0,2,0.40476190476190477,9,0.17582417582417584,2,7,1.1428571428571428,4.0,0.5714285714285714,oodt,5,2,0.0017123287671232876,0.19047619047619047
16,8.25,2,0.22718253968253968,13,0.15,2,235,1.0,117.5,0.5,oodt,6,0,0.00823045267489712,0.08823529411764706
14,15.428571428571429,1,0.22551020408163264,14,0.1978021978021978,3,16,1.0625,5.666666666666667,0.3541666666666667,oodt,7,1,0.0,0.1388888888888889
15,11.2,2,0.3133333333333333,11,0.19047619047619047,1,7,1.0,7.0,1.0,oodt,8,0,0.0,0.15789473684210525
0,0.0,0,0.0,0,0.0,1,51,1.0,51.0,1.0,oozie,0,0,0.0,0.0
11,10.181818181818182,1,0.0,11,0.18181818181818182,2,33,1.0,16.5,0.5,oozie,1,2,0.03571428571428571,0.0
41,17.5609756097561,4,0.2481610530391018,33,0.07073170731707316,3,61,1.0163934426229508,20.666666666666668,0.33879781420765026,oozie,2,3,0.0,0.058823529411764705
53,16.754716981132077,6,0.26532984834871626,27,0.05370101596516691,3,60,1.1,22.0,0.36666666666666664,oozie,3,3,0.0078125,0.10606060606060606
52,18.692307692307693,6,0.23067765567765564,29,0.05203619909502263,3,133,1.0526315789473684,46.666666666666664,0.3508771929824561,oozie,4,3,0.038834951456310676,0.1048951048951049
51,15.764705882352942,6,0.15864397040867628,20,0.05019607843137255,3,73,1.178082191780822,28.666666666666668,0.3926940639269406,oozie,5,3,0.11061946902654868,0.13533834586466165
48,16.416666666666668,2,0.2407398035687509,26,0.05851063829787234,3,238,1.134453781512605,90.0,0.37815126050420167,oozie,6,3,0.10674157303370786,0.12307692307692308
76,23.736842105263158,2,0.2538095238095238,40,0.04456140350877193,2,43,1.1162790697674418,24.0,0.5581395348837209,oozie,7,2,0.08176100628930817,0.14507772020725387
78,25.641025641025642,2,0.20904603718368897,39,0.040293040293040296,2,78,1.0384615384615385,40.5,0.5192307692307693,oozie,8,2,0.06201550387596899,0.1693548387096774
52,14.76923076923077,2,0.2372419247419247,27,0.05656108597285068,2,28,1.1785714285714286,16.5,0.5892857142857143,oozie,9,2,0.03508771929824561,0.10204081632653061
