project_id,incubation_length,active_devs,num_commits,num_committers,num_files,num_emails,num_senders,num_respondents,skew_c,skew_e,c_percentage,e_percentage,inactive_c,inactive_e,c_nodes,c_edges,c_c_coef,c_mean_degree,c_long_tail,c_triangles,e_nodes,e_edges,e_c_coef,e_mean_degree,e_long_tail,e_triangles,e_bidirected_edges
164,14.5,44,526,5,53,1314,39,37,-1.493135731611667,-1.202633449746912,0.5475285171102662,0.7442922374429224,0.5338541666666666,0.19907407407407407,5,7,0.7,2.8,4,4.0,39,85,0.35719420180958644,4.358974358974359,6,47.0,140
167,20.333333333333332,185,59202,51,4033,3749,163,157,-0.022627268683382613,-0.12374576861253032,0.8114083983649201,0.7065884235796213,0.015706806282722512,0.045307443365695796,51,675,0.8367243355600613,26.470588235294116,42,5164.0,163,581,0.4599241842912088,7.128834355828221,13,990.0,875
168,30.933333333333334,470,7099,23,4865,14881,466,454,1.3409723674024852,-0.3236621808040836,0.7458797013663896,0.8080774141522747,0.5179190751445086,0.03304904051172708,18,63,0.870266153599487,7.0,10,117.0,466,2054,0.41451237060546464,8.815450643776824,7,5745.0,3017
169,7.766666666666667,158,21166,26,2147,2757,148,143,0.4104885386073547,0.02262044028491933,0.6538788623263725,0.6184258251722887,0.04878048780487805,0.02834008097165992,26,127,0.8010682576142002,9.76923076923077,14,336.0,148,513,0.4486248235616675,6.9324324324324325,8,782.0,749
170,4.566666666666666,111,275,5,105,1070,106,104,-0.38988882513165973,0.6663051890452595,0.7490909090909091,0.5794392523364486,0.4129032258064516,0.1223021582733813,5,5,0.4333333333333334,2.0,3,1.0,107,285,0.30379782351201734,5.327102803738318,10,276.0,476
171,29.633333333333333,24,755,5,283,313,19,19,0.8731476526770228,0.23112306784221395,0.39867549668874175,0.3450479233226837,0.38639455782312926,0.24431137724550897,5,10,1.0,4.0,0,10.0,19,41,0.37593984962406024,4.315789473684211,7,21.0,65
172,17.2,99,11485,9,2744,2166,93,89,0.7303581340462304,-0.035644464138318364,0.5528950805398346,0.7576177285318559,0.12355212355212356,0.06049149338374291,9,33,0.92989417989418,7.333333333333333,7,65.0,93,286,0.4478945853633399,6.150537634408602,9,329.0,450
173,10.766666666666667,155,4961,6,1996,6629,149,153,0.3446504905687442,-0.11652993948481795,0.7311026002822012,0.767838286317695,0.02197802197802198,0.014084507042253521,6,14,0.9333333333333332,4.666666666666667,4,16.0,155,634,0.4840013547146848,8.180645161290322,14,1351.0,1099
175,8.466666666666667,68,27909,25,2797,1137,48,46,-0.9264697472468717,-0.5880292262240353,0.47196244938908594,0.7044854881266491,0.056451612903225805,0.03125,24,173,0.7712954854885968,14.416666666666666,21,781.0,48,127,0.3877747901870709,5.291666666666667,9,120.0,200
176,5.133333333333334,34,5532,10,1005,1026,25,27,0.34150291037566627,0.2051305129085907,0.5880332610267535,0.5984405458089669,0.20149253731343283,0.14583333333333334,9,23,0.8521164021164023,5.111111111111111,7,28.0,28,82,0.5028830874601792,5.857142857142857,8,98.0,124
177,10.0,47,4185,6,1262,694,41,41,-0.10403233090824077,-0.8063772792439384,0.35531660692951017,0.6397694524495677,0.3106060606060606,0.1724137931034483,6,14,0.9333333333333332,4.666666666666667,4,16.0,42,114,0.3730346852545732,5.428571428571429,8,78.0,162
178,13.8,95,2577,5,910,7101,90,88,0.100258355504962,0.29860857884911773,0.4485836243694218,0.8114350091536403,0.12912087912087913,0.020202020202020204,5,7,0.7,2.8,4,4.0,90,304,0.47777584483998753,6.7555555555555555,12,390.0,520
179,12.3,36,1722,11,388,543,26,23,0.5943831065580335,1.0930210534697793,0.8101045296167247,0.5580110497237569,0.2659279778393352,0.18904109589041096,11,37,0.868109668109668,6.7272727272727275,8,63.0,26,78,0.4938418168056178,6.0,12,75.0,130
181,13.366666666666667,162,5892,10,1235,4237,152,154,0.4820645723056258,-0.6073842044712306,0.4426340801086219,0.7569034694359217,0.14987080103359174,0.07142857142857142,10,43,0.9523809523809523,8.6,6,104.0,157,502,0.5266462230546394,6.3949044585987265,7,655.0,844
182,14.433333333333334,228,10303,9,1737,5931,219,216,0.40728179220790034,0.4823970357686934,0.5735222750655149,0.8324060023604788,0.05263157894736842,0.02364066193853428,9,29,0.9232804232804231,6.444444444444445,8,51.0,223,509,0.40446064329014736,4.565022421524664,4,352.0,843
183,14.966666666666667,60,2463,9,691,1961,53,55,-0.6210857377518926,0.26287560644164043,0.6800649614291514,0.7338092809790923,0.11333333333333333,0.06153846153846154,9,15,0.4074074074074074,3.3333333333333335,6,9.0,57,177,0.5641977684215633,6.2105263157894735,7,198.0,269
184,16.4,668,78290,70,42621,29047,605,564,1.3948815828768448,-0.10449804596160303,0.8959637246136161,0.8064171859400282,0.02594810379241517,0.0,68,1025,0.8303853499005225,30.147058823529413,56,9295.0,618,4191,0.43372364961789733,13.563106796116505,21,23177.0,6662
185,13.9,36,5540,6,976,1526,30,32,0.19829764589829918,-0.05727776475393993,0.8812274368231047,0.7077326343381389,0.11194029850746269,0.09414758269720101,6,12,0.85,4.0,3,10.0,32,86,0.515719941822883,5.375,9,77.0,131
186,32.2,163,4090,4,347,3563,163,159,1.7707456830312251,-0.21436578167864262,0.9105134474327629,0.6949200112264945,0.28835489833641403,0.036231884057971016,4,5,0.8333333333333333,2.5,2,2.0,163,546,0.3771695715360099,6.699386503067485,16,1096.0,828
187,11.233333333333333,94,1931,17,592,692,85,83,-1.1111960357343857,-0.2880523350112884,0.7307094769549456,0.6083815028901735,0.14696485623003194,0.13293051359516617,17,55,0.8110223110223109,6.470588235294118,10,98.0,85,192,0.25557844231892674,4.517647058823529,4,130.0,296
188,20.733333333333334,130,2263,6,560,1762,125,126,1.1978623964731885,-0.7208434889698925,0.7525408749447636,0.7094211123723042,0.2830820770519263,0.11802232854864433,6,14,0.9333333333333335,4.666666666666667,4,16.0,127,288,0.2604167994066911,4.535433070866142,6,165.0,463
189,5.366666666666666,79,9837,14,1122,1232,73,72,1.0762332941742798,0.27816606643095665,0.6590423909728576,0.6461038961038961,0.1320754716981132,0.1056338028169014,14,75,0.8941391941391943,10.714285714285714,13,221.0,73,166,0.18822251702993043,4.5479452054794525,8,111.0,229
190,12.866666666666667,94,4703,8,770,5467,86,83,-0.2914180645927943,-0.022508968886508336,0.6555390176483096,0.7051399304920432,0.08991825613079019,0.03278688524590164,8,19,0.8678571428571428,4.75,4,20.0,86,324,0.4713038578076192,7.534883720930233,10,502.0,552
191,10.8,46,13171,6,1369,4696,40,43,0.2215462879865784,-0.0949100637254483,0.4716422443246526,0.8492333901192505,0.03436426116838488,0.02287581699346405,6,13,0.9,4.333333333333333,5,13.0,44,116,0.6227648844281704,5.2727272727272725,5,102.0,178
192,16.166666666666668,46,21,2,12,2538,46,44,-0.3127468763519406,-0.33661037073994965,0.5714285714285714,0.7218282111899134,0.896551724137931,0.05030181086519115,0,0,0,0,0,0,46,110,0.5442150631408943,4.782608695652174,3,74.0,159
194,17.0,195,14173,33,842,1934,176,174,-0.1418789215028119,0.11378951425489806,0.867071191702533,0.7223371251292657,0.3228655544651619,0.04149377593360996,33,225,0.8066731736185935,13.636363636363637,21,904.0,176,356,0.18593415481672448,4.045454545454546,6,132.0,601
195,15.833333333333334,59,488,6,204,1987,58,57,-1.574061652985431,-0.40366115447700623,0.45901639344262296,0.6980372420734776,0.47342995169082125,0.04384133611691023,2,1,0.0,1.0,0,0.0,58,192,0.5659811458283189,6.620689655172414,15,274.0,274
196,28.133333333333333,194,34190,25,3789,14949,170,170,0.3048649942652499,-0.11559135658708318,0.4205030710734133,0.7961736571008095,0.021634615384615384,0.014184397163120567,25,223,0.869053063626223,17.84,22,1109.0,177,863,0.5834623191258709,9.751412429378531,15,2536.0,1410
197,30.3,101,16145,21,2213,3265,89,86,0.4126560269327539,-0.3757055611020424,0.4716630535769588,0.7160796324655436,0.0437636761487965,0.0437636761487965,21,192,0.9909774436090226,18.285714285714285,20,1141.0,89,304,0.4001680013593967,6.831460674157303,16,511.0,474
199,12.866666666666667,116,3729,17,1299,5192,103,103,0.20756602398656296,-0.08441454237711074,0.5567176186645213,0.8052773497688752,0.04644808743169399,0.020671834625323,17,97,0.8903023447141097,11.411764705882353,14,319.0,105,392,0.4626753200947409,7.466666666666667,18,672.0,621
200,15.433333333333334,57,15578,28,2850,1870,41,40,0.10722709784316233,-0.636283903051106,0.6926434715624599,0.7026737967914438,0.04714640198511166,0.06531531531531531,28,234,0.8554496291110043,16.714285714285715,23,1120.0,41,168,0.6088002714480725,8.195121951219512,12,268.0,234
